"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"1";"";"BATTERY18650";"BATTERY_18650-HOLDER";"BAT1";"Battery Holders";"";"";"";"";"";
"1";"";"CAP_CERAMIC_0805MP";"_0805MP";"C9";"Ceramic Capacitors";"";"";"";"";"";
"1";"";"HEADER-1X2ROUND";"1X02_ROUND";"JP2";"PIN HEADER";"";"";"";"";"";
"2";"";"PINHD-1X3";"1X03";"JP1, JP3";"PIN HEADER";"";"";"";"";"";
"1";"";"PTC1812";"PTC1812";"PTC1";"PTC (Resettable Fuse)";"";"";"";"";"";
"1";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q3";"NPN Transistor";"";"";"";"";"";
"1";"100";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";
"5";"100n";"C-EUC0603K";"C0603K";"C1, C8, C16, C17, C19";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"100n";"CAP_CERAMIC_0603MP";"_0603MP";"C2";"Ceramic Capacitors";"";"";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R6, R22";"RESISTOR, European symbol";"";"";"";"";"";
"2";"10u";"CAP_CERAMIC_0805MP";"_0805MP";"C10, C11";"Ceramic Capacitors";"";"";"";"";"";
"4";"1k";"R-EU_R0603";"R0603";"R3, R4, R5, R18";"RESISTOR, European symbol";"";"";"";"";"";
"2";"1u";"CAP_CERAMIC_0805MP";"_0805MP";"C3, C5";"Ceramic Capacitors";"";"";"";"";"";
"2";"22";"R-EU_R0603";"R0603";"R8, R9";"RESISTOR, European symbol";"";"";"";"";"";
"4";"220";"R-EU_R0603";"R0603";"R7, R14, R15, R16";"RESISTOR, European symbol";"";"";"";"";"";
"2";"22pf";"C-EUC0603K";"C0603K";"C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"22u";"CAP_CERAMIC_0805MP";"_0805MP";"C4";"Ceramic Capacitors";"";"";"";"";"";
"1";"2k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";
"1";"470";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";
"1";"8mhz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"1667008";"unknown";"";
"1";"AP1509";"AP1509";"SOP-8L";"U$2";"";"";"";"";"";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"MCU";"http://www.ladyada.net/library/eagle";"";"";"";"";"";
"1";"AVRISP-BOX";"AVRISP-BOX";"AVRISP-BOX";"U$4";"AVR ISP HEADER";"";"";"";"";"";
"3";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"U$1, U$18, U$19";"";"";"";"";"";"";
"1";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"D2";"DIODE";"";"";"";"";"";
"1";"MBRA140";"MBRA140";"SMA-DIODE";"D1";"40V, 1A Schottky rectifier";"";"";"";"";"DIO-08053";
"1";"MCP73831/OT";"MCP73831/OT";"SOT23-5L";"IC1";"MCP73831/2";"";"";"";"";"";
"1";"MH2029";"FERRITE_0805MP";"_0805MP";"FB1";"Ferrite Bead";"";"";"";"";"";
"2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2";"MOUNTING HOLE with drill center marker";"";"";"";"";"";
"1";"MSS1038-473MLC 47u";"INDUCTORPWR";"CDRH125";"L1";"Inductors";"";"";"";"";"";
"1";"NE555D";"NE555D";"SO08";"IC5";"TIMER";"";"";"";"";"";
"1";"PBSS4120T";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q4";"NPN Transistor";"";"";"";"";"";
"9";"SFH 309";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9";"LED";"";"";"";"";"";
"1";"SWITCH-MOMENTARY-2-SMD-1101NE";"SWITCH-MOMENTARY-2-SMD-1101NE";"TACTILE-SWITCH-1101NE";"S2";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";
"1";"TL36WO";"TL36WO";"TL3XWO";"S1";"TINY SWITCH ON - ON";"";"";"";"";"";
"1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XB1";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";"";"";"";"";
"1";"mini-usb";"MINI-USB-SCHIELD-32005-301";"32005-301";"X1";"MINI USB-B Conector";"";"";"unknown";"unknown";"";
