"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"BATTERY18650";"BATTERY_18650-HOLDER";"BAT1";"Battery Holders";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";
"1";"";"PTC1206";"1206";"PTC2";"PTC (Resettable Fuse)";"";
"4";"100n";"CAP_CERAMIC_0603";"_0603";"C1, C13, C14, C15";"Ceramic Capacitors";"";
"2";"100u";"CAP_CERAMIC1206";"1206";"C23, C25";"Ceramic Capacitors";"";
"2";"10k";"RESISTOR_0603";"_0603";"R6, R18";"Resistors";"";
"4";"10u";"CAP_CERAMIC_0805";"_0805";"C2, C10, C11, C24";"Ceramic Capacitors";"";
"1";"11k";"RESISTOR_0603";"_0603";"R20";"Resistors";"";
"1";"17k4";"RESISTOR_0603";"_0603";"R21";"Resistors";"";
"3";"1k";"RESISTOR_0603";"_0603";"R3, R4, R5";"Resistors";"";
"1";"1m";"RESISTOR_0603";"_0603";"R23";"Resistors";"";
"1";"1n";"CAP_CERAMIC_0603";"_0603";"C22";"Ceramic Capacitors";"";
"1";"1n8";"CAP_CERAMIC_0603";"_0603";"C12";"Ceramic Capacitors";"";
"2";"1u";"CAP_CERAMIC_0805";"_0805";"C3, C5";"Ceramic Capacitors";"";
"2";"22";"RESISTOR_0603";"_0603";"R8, R9";"Resistors";"";
"7";"220";"RESISTOR_0603";"_0603";"R7, R12, R13, R14, R15, R16, R24";"Resistors";"";
"2";"22p";"CAP_CERAMIC_0603";"_0603";"C6, C7";"Ceramic Capacitors";"";
"2";"22u";"CAP_CERAMIC_0805";"_0805";"C4, C9";"Ceramic Capacitors";"";
"1";"2k";"RESISTOR_0603";"_0603";"R1";"Resistors";"";
"1";"34k8";"RESISTOR_0603";"_0603";"R17";"Resistors";"";
"1";"470";"RESISTOR_0603";"_0603";"R2";"Resistors";"";
"1";"475";"RESISTOR_0603";"_0603";"R10";"Resistors";"";
"1";"47p";"CAP_CERAMIC_0603";"_0603";"C21";"Ceramic Capacitors";"";
"1";"8mhz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";
"1";"931";"RESISTOR_0603";"_0603";"R11";"Resistors";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"MCU";"http://www.ladyada.net/library/eagle";"";
"1";"AVRISP-BOX";"AVRISP-BOX";"AVRISP-BOX";"U$4";"AVR ISP HEADER";"";
"1";"B320";"DIODESMA";"SMADIODE";"D3";"Diode";"";
"4";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"BI-LEVEL-LED-INDICATOR";"U$11, U$13, U$14, U$17";"";"";
"1";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"D2";"DIODE";"";
"2";"CG0603MLC-05E";"VARISTOR-0603";"0603-RES";"Z1, Z2";"Varistor";"";
"1";"FDVE0630-H-1R0M";"INDUCTORTDK_SLF6045";"INDUCTOR_6X6MM_TDK_SLF6045";"L1";"Inductors";"";
"1";"GAMMA-868-SO";"GAMMA-868-SO";"UNICORN_V2_GAMMA-868-SO";"U$7";"";"";
"1";"LTC3872ETS8TRMPBF";"LTC3872ETS8TRMPBF";"SOT65P280X100-8N";"U2";"DC/DC Controller";"";
"1";"MCP73831/OT";"MCP73831/OT";"SOT23-5L";"IC1";"MCP73831/2";"";
"1";"MH2029";"FERRITE_0805";"_0805";"FB1";"Ferrite Bead";"";
"2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2";"MOUNTING HOLE with drill center marker";"";
"1";"PBSS4120T";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q4";"NPN Transistor";"";
"1";"REG1117";"REG1117";"SOT223";"IC2";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"1";"SI3460DDV-T1-GE3";"SI3457CDV-T1-GE3";"SOT95P285X110-6N";"U3";"N-Channel 30-V (D-S) MOSFET";"";
"1";"SWITCH-MOMENTARY-2SMD-1101NE";"SWITCH-MOMENTARY-2SMD-1101NE";"TACTILE-SWITCH-1101NE";"S2";"Various NO switches- pushbuttons, reed, etc";"";
"1";"TL36WO";"TL36WO";"TL3XWO";"S1";"TINY SWITCH ON - ON";"";
"1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XB1";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";
"1";"mini-usb";"MINI-USB-SCHIELD-32005-301";"32005-301";"X1";"MINI USB-B Conector";"";
