"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"3";"";"LED1206";"CHIPLED_1206";"LED1, LED2, LED4";"LED";"";
"4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED3, LED5, LED6, LED7";"LED";"";
"1";"";"PTC1812";"PTC1812";"PTC1";"PTC (Resettable Fuse)";"";
"1";"";"SIMHOLDERSIM";"SIMHOLDER";"J1";"SIM Socket";"";
"4";"";"TESTPOINT";"TESTPOINT_SMT";"TP1, TP2, TP3, TP4";"Test Point";"";
"2";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q1, Q7";"NPN Transistor";"";
"10";"100n";"CAP_CERAMIC_0603";"_0603";"C5, C12, C13, C14, C15, C16, C19, C20, C23, C24";"Ceramic Capacitors";"";
"6";"100nF";"CAP_CERAMIC_0603";"_0603";"C3, C25, C26, C27, C28, C29";"Ceramic Capacitors";"";
"2";"10k";"RESISTOR_0603";"_0603";"R19, R22";"Resistors";"";
"1";"10u";"CAP_CERAMIC_0805";"_0805";"C30";"Ceramic Capacitors";"";
"2";"12MHz";"CRYSTALHC49S";"HC49/S";"Q2, Q3";"CRYSTAL";"";
"1";"1k";"RESISTOR_0603";"_0603";"R10";"Resistors";"";
"1";"1k69";"RESISTOR_0603";"_0603";"R11";"Resistors";"";
"1";"1n5824";"1N5400";"DO201-15";"D2";"DIODE";"";
"1";"1µF";"CAP_CERAMIC_0805";"_0805";"C1";"Ceramic Capacitors";"";
"1";"20K";"RESISTOR_0603";"_0603";"R12";"Resistors";"";
"3";"22";"RESISTOR_0603";"_0603";"R13, R17, R18";"Resistors";"";
"1";"220uf";"CPOL-EUE3.5-8";"E3,5-8";"C4";"POLARIZED CAPACITOR, European symbol";"";
"4";"22p";"CAP_CERAMIC_0603";"_0603";"C17, C18, C21, C22";"Ceramic Capacitors";"";
"1";"22u";"CAP_CERAMIC_0805";"_0805";"C31";"Ceramic Capacitors";"";
"4";"270";"RESISTOR_0603";"_0603";"R20, R21, R23, R24";"Resistors";"";
"4";"33p";"CAP_CERAMIC_0603";"_0603";"C6, C9, C10, C11";"Ceramic Capacitors";"";
"5";"47k";"RESISTOR_0603";"_0603";"R3, R4, R5, R6, R7";"Resistors";"";
"1";"499";"RESISTOR_0603";"_0603";"R26";"Resistors";"";
"1";"4n7";"CAP_CERAMIC0603";"0603";"C2";"Ceramic Capacitors";"";
"5";"500";"RESISTOR_0603";"_0603";"R2, R8, R9, R25, R63";"Resistors";"";
"2";"60";"RESISTOR_0603";"_0603";"R15, R16";"Resistors";"";
"1";"679105700";"679105700";"679105700";"X5";"MINI PCI EXPRESS CONNECTOR 0.8MM PITCH, 52 CIRCUIT";"";
"1";"680u";"CPOL-EUE5-10.5";"E5-10,5";"C7";"POLARIZED CAPACITOR, European symbol";"";
"1";"850";"RESISTOR_0603";"_0603";"R1";"Resistors";"";
"1";"976";"RESISTOR_0603";"_0603";"R27";"Resistors";"";
"4";"AT45DB161D";"AT45DB161D";"SO08-EIAJ";"U$26, U$27, U$33, U$34";"16-Mbit SPI flash memory";"";
"1";"CPU-BOARD";"CPU-BOARD";"CPU-BOARD-JP1";"U$1";"";"";
"1";"EM406";"EM406";"EM406";"U$36";"EM406 Connector";"";
"1";"GAMMA-868-SO";"GAMMA-868-SO";"UNICORN_V2_GAMMA-868-SO";"U$32";"";"";
"1";"MAX13052ESA+";"MAX13052ESA+";"SOIC127P600X175-8N";"U1";"Industry-Standard High-Speed CAN Transceivers with ±80V Fault Protection";"";
"1";"MAX232AEWE+";"MAX232AEWE+";"SOIC127P1032X265-16N";"U3";"+5V-Powered, Multichannel RS-232 Drivers/Receivers";"";
"2";"MCP2200";"MCP2200";"SO20L";"U$24, U$29";"USB to serial converter by micreochip";"";
"1";"MSS1278-224KLD";"INDUCTORPWR";"CDRH125";"L1";"Inductors";"";
"1";"REG1117";"REG1117";"SOT223";"IC5";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"1";"SDBMF";"SDBMF";"SDBMF-009XXBXX2";"X1";"SD MEMORY CARD PUSH-PUSH WITH CONNECTOR TYPE B (BIG SWUÌTCH #3)";"";
"1";"SMS05";"SMS05";"SOT95P280X145-6N";"U2";"TVS DIODE";"";
"1";"SUPERCAP";"SUPERCAP";"SUPERCAP";"C8";"";"";
"1";"SUPERSEAL-26";"SUPERSEAL-26";"SUPERSEAL-26";"U$18";"";"";
"1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XB1";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";
"1";"XXXXX";"RESISTOR_0603";"_0603";"R14";"Resistors";"";
"1";"lm2575";"LM2596S";"TO263-5";"IC2";"STEP-DOWN VOLTAGE REGULATOR";"";
