Qty;Value;Device;Package;Parts;Description
5;;10-XX;B3F-10XX;S1, S2, S3, S4, S5;OMRON SWITCH
20;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20;RGB LED
1;;LM2596S;TO263-5;IC1;STEP-DOWN VOLTAGE REGULATOR
1;;W237-102;W237-102;X1;WAGO SCREW CLAMP
18;100n;CAP_CERAMIC_0603;_0603;C3, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24;Ceramic Capacitors
1;10m;RESISTOR_0805;_0805;R9;Resistors
1;15;RESISTOR_0603;_0603;R1;Resistors
1;1N5638;1N5638;DO13M;D2;DIODE
1;1k;RESISTOR_0603;_0603;R3;Resistors
1;1k69;RESISTOR_0603;_0603;R2;Resistors
1;1u;CAP_CERAMIC_0805;_0805;C2;Ceramic Capacitors
1;220n;CAP_CERAMIC_0805;_0805;C1;Ceramic Capacitors
1;220u 35V;CPOL-EUE3.5-8;E3,5-8;C5;POLARIZED CAPACITOR, European symbol
2;2u;CAP_CERAMIC_0805;_0805;C6, C7;Ceramic Capacitors
1;470u 50V;CPOL-EUE5-13;E5-13;C4;POLARIZED CAPACITOR, European symbol
12;500;RESISTOR_0603;_0603;R7, R8, R10, R11, R12, R13, R14, R16, R17, R18, R19, R20;Resistors
2;74HC14D;74HC14D;SO14;IC2, IC3;Hex schmitt trigger INVERTER
4;931;RESISTOR_0603;_0603;R4, R5, R6, R15;Resistors
1;CAT4238TD-GT3;FAN5331;SOT23-5;U1;FAN5331 - LED/OLED 20V Boost Converter
1;CPU-BOARD;CPU-BOARD;CPU-BOARD-JP1;U$1;
1;EA-DOGXL160W-7;EA-DOGXL160W-7;EA-DOGXL160W-7;U$10;
1;MBR0520LT;MBR0520LT;SOD123;D1;SCHOTTKY BARRIER RECTIFIER
1;MICROFIT6;MICROFIT6;MICROFIT6SOCK;U$42;
4;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;H1, H2, H3, H4;MOUNTING HOLE with drill center marker
1;MSS1583-683MED;INDUCTORPWR;CDRH125;L2;Inductors
4;TLC59116;TLC59116;TSSOP28;U$30, U$33, U$36, U$51;
1;WE-PD4S;WE-PD4-7445501_S;S;L1;SMD-Power Inductors WE-PD4
