"Part";"Value";"Device";"Package";"Description";"";
"C1";"220n";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C2";"1u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C3";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C4";"470u 50V";"CPOL-EUE5-13";"E5-13";"POLARIZED CAPACITOR, European symbol";"";
"C5";"220u 35V";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C6";"2u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C7";"2u";"CAP_CERAMIC_0805";"_0805";"Ceramic Capacitors";"";
"C8";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C9";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C10";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C11";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C12";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C13";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C14";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C15";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C16";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C17";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C18";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C19";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C20";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C21";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C22";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C23";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"C24";"100n";"CAP_CERAMIC_0603";"_0603";"Ceramic Capacitors";"";
"D1";"MBR0520LT";"MBR0520LT";"SOD123";"SCHOTTKY BARRIER RECTIFIER";"";
"D2";"1N5638";"1N5638";"DO13M";"DIODE";"";
"H1";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"H3";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"H4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"MOUNTING HOLE with drill center marker";"";
"IC1";"";"LM2596S";"TO263-5";"STEP-DOWN VOLTAGE REGULATOR";"";
"IC2";"74HC14D";"74HC14D";"SO14";"Hex schmitt trigger INVERTER";"";
"IC3";"74HC14D";"74HC14D";"SO14";"Hex schmitt trigger INVERTER";"";
"L1";"WE-PD4S";"WE-PD4-7445501_S";"S";"SMD-Power Inductors WE-PD4";"";
"L2";"MSS1583-683MED";"INDUCTORPWR";"CDRH125";"Inductors";"";
"LED1";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED2";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED3";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED4";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED5";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED6";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED7";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED8";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED9";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED10";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED11";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED12";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED13";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED14";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED15";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED16";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED17";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED18";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED19";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"LED20";"";"LED_RGB_PLCC6CREE-CLV6A";"RGBLED_PLCC6";"RGB LED";"";
"R1";"15";"RESISTOR_0603";"_0603";"Resistors";"";
"R2";"1k69";"RESISTOR_0603";"_0603";"Resistors";"";
"R3";"1k";"RESISTOR_0603";"_0603";"Resistors";"";
"R4";"931";"RESISTOR_0603";"_0603";"Resistors";"";
"R5";"931";"RESISTOR_0603";"_0603";"Resistors";"";
"R6";"931";"RESISTOR_0603";"_0603";"Resistors";"";
"R7";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R8";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R9";"10m";"RESISTOR_0805";"_0805";"Resistors";"";
"R10";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R11";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R12";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R13";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R14";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R15";"931";"RESISTOR_0603";"_0603";"Resistors";"";
"R16";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R17";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R18";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R19";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"R20";"500";"RESISTOR_0603";"_0603";"Resistors";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S3";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S4";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S5";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"U$1";"CPU-BOARD";"CPU-BOARD";"CPU-BOARD-JP1";"";"";
"U$10";"EA-DOGXL160W-7";"EA-DOGXL160W-7";"EA-DOGXL160W-7";"";"";
"U$30";"TLC59116";"TLC59116";"TSSOP28";"";"";
"U$33";"TLC59116";"TLC59116";"TSSOP28";"";"";
"U$36";"TLC59116";"TLC59116";"TSSOP28";"";"";
"U$42";"MICROFIT6";"MICROFIT6";"MICROFIT6SOCK";"";"";
"U$51";"TLC59116";"TLC59116";"TSSOP28";"";"";
"U1";"CAT4238TD-GT3";"FAN5331";"SOT23-5";"FAN5331 - LED/OLED 20V Boost Converter";"";
"X1";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";
