;Part;Value;Device;Package;Description
x;C1;220n;CAP_CERAMIC_0805;_0805;Ceramic Capacitors
x;C2;1u;CAP_CERAMIC_0805;_0805;Ceramic Capacitors
x;C3;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C4;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C6;2u;CAP_CERAMIC_0805;_0805;Ceramic Capacitors
x;C7;2u;CAP_CERAMIC_0805;_0805;Ceramic Capacitors
x;C8;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C9;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C10;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C11;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C12;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C13;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
;C14;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
;C15;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
;C16;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
;C17;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C18;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C19;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C20;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C21;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C22;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C23;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
x;C24;100n;CAP_CERAMIC_0603;_0603;Ceramic Capacitors
;C25;470u;CPOL-EU153CLV-1012;153CLV-1012;POLARIZED CAPACITOR, European symbol
;C26;220u;CPOL-EU153CLV-1012;153CLV-1012;POLARIZED CAPACITOR, European symbol
x;D1;MBR0520LT;MBR0520LT;SOD123;SCHOTTKY BARRIER RECTIFIER
;D2;;SCHOTTKY-DIODESMC;SMC;Schottky Diode
x;H1;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker
x;H2;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker
x;H3;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker
x;H4;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;MOUNTING HOLE with drill center marker
x;IC1;;LM2596S;TO263-5;STEP-DOWN VOLTAGE REGULATOR
;IC2;74HC14D;74HC14D;SO14;Hex schmitt trigger INVERTER
;IC3;74HC14D;74HC14D;SO14;Hex schmitt trigger INVERTER
x;L1;WE-PD4S;WE-PD4-7445501_S;S;SMD-Power Inductors WE-PD4
x;L2;MSS1583-683MED;INDUCTORPWR;CDRH125;Inductors
;LED1;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED2;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED3;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED4;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED5;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED6;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED7;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED8;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED9;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED10;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED11;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED12;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED13;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED14;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED15;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED16;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED17;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED18;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED19;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;LED20;;LED_RGB_PLCC6CREE-CLV6A;RGBLED_PLCC6;RGB LED
;PTC1;;PTC1812;PTC1812;PTC (Resettable Fuse)
x;R1;15;RESISTOR_0603;_0603;Resistors
x;R2;1k69;RESISTOR_0603;_0603;Resistors
x;R3;1k;RESISTOR_0603;_0603;Resistors
;R4;931;RESISTOR_0603;_0603;Resistors
;R5;931;RESISTOR_0603;_0603;Resistors
x;R6;931;RESISTOR_0603;_0603;Resistors
x;R7;500;RESISTOR_0603;_0603;Resistors
x;R8;500;RESISTOR_0603;_0603;Resistors
;R9;10m;RESISTOR_0805;_0805;Resistors
;R10;500;RESISTOR_0603;_0603;Resistors
;R11;500;RESISTOR_0603;_0603;Resistors
;R12;500;RESISTOR_0603;_0603;Resistors
;R13;500;RESISTOR_0603;_0603;Resistors
;R14;500;RESISTOR_0603;_0603;Resistors
;R15;931;RESISTOR_0603;_0603;Resistors
;R16;500;RESISTOR_0603;_0603;Resistors
;R17;500;RESISTOR_0603;_0603;Resistors
;R18;500;RESISTOR_0603;_0603;Resistors
;R19;500;RESISTOR_0603;_0603;Resistors
;R20;500;RESISTOR_0603;_0603;Resistors
;R21;500;RESISTOR_0603;_0603;Resistors
x;S1;;10-XX;B3F-10XX;OMRON SWITCH
x;S2;;10-XX;B3F-10XX;OMRON SWITCH
x;S3;;10-XX;B3F-10XX;OMRON SWITCH
x;S4;;10-XX;B3F-10XX;OMRON SWITCH
x;S5;;10-XX;B3F-10XX;OMRON SWITCH
x;S6;;10-XX;B3F-10XX;OMRON SWITCH
x;TP1;;TESTPOINT;TESTPOINT_SMT;Test Point
x;TP2;;TESTPOINT;TESTPOINT_SMT;Test Point
x;TP3;;TESTPOINT;TESTPOINT_SMT;Test Point
x;U$1;CPU-BOARD;CPU-BOARD;CPU-BOARD-JP1;
x;U$10;EA-DOGXL160W-7;EA-DOGXL160W-7;EA-DOGXL160W-7;
x;U$30;TLC59116;TLC59116;TSSOP28;
x;U$33;TLC59116;TLC59116;TSSOP28;
x;U$36;TLC59116;TLC59116;TSSOP28;
x;U$42;MICROFIT6;MICROFIT6;43045-0600;
;U$51;TLC59116;TLC59116;TSSOP28;
x;U1;CAT4238TD-GT3;FAN5331;SOT23-5;FAN5331 - LED/OLED 20V Boost Converter
;X1;;W237-102;W237-102;WAGO SCREW CLAMP
;X2;22-05-7028-02;22-05-7028-02;7395-02;CONNECTOR
