"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"6";"";"DIODESOD-323F";"SOD-323F";"D1, D3, D8, D9, D10, D11";"Diode";"";
"1";"";"PTC1812";"PTC1812";"PTC2";"PTC (Resettable Fuse)";"";
"1";"";"SWITCH_DPDT";"DPDT_SMT_JS202011SCQN";"SW1";"Switch - DPDT";"";
"7";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q1, Q2, Q3, Q5, Q6, Q7, Q8";"NPN Transistor";"";
"1";"";"USBMINIBLARGE";"USB-MINIB_LARGER";"CN1";"USB Connectors";"";
"1";"057-014-1";"057-014-1";"057-014-1";"X1";"CONNECTOR";"";
"13";"100n";"CAP_CERAMIC_0603";"_0603";"C6, C12, C13, C14, C21, C22, C23, C24, C26, C27, C36, C50, C52";"Ceramic Capacitors";"";
"2";"100u 6v3";"CAP_CERAMIC1206";"1206";"C19, C25";"Ceramic Capacitors";"";
"5";"10k";"RESISTOR_0603";"_0603";"R12, R13, R15, R19, R37";"Resistors";"";
"12";"10k 0W5";"RESISTOR_0805";"_0805";"R3, R7, R27, R29, R39, R40, R41, R74, R98, R99, R100, R101";"Resistors";"";
"1";"10k2";"RESISTOR_0603";"_0603";"R68";"Resistors";"";
"2";"10n";"CAP_CERAMIC_0603";"_0603";"C3, C7";"Ceramic Capacitors";"";
"2";"10u";"CAP_CERAMIC_0805";"_0805";"C10, C11";"Ceramic Capacitors";"";
"1";"150u 6v3";"CAP_CERAMIC1206";"1206";"C20";"Ceramic Capacitors";"";
"6";"1k";"RESISTOR_0603";"_0603";"R28, R42, R43, R44, R75, R76";"Resistors";"";
"5";"1n";"CAP_CERAMIC_0603";"_0603";"C5, C15, C34, C35, C51";"Ceramic Capacitors";"";
"1";"200k";"RESISTOR_0603";"_0603";"R54";"Resistors";"";
"12";"20k";"RESISTOR_0603";"_0603";"R24, R25, R30, R31, R36, R45, R84, R85, R90, R91, R94, R95";"Resistors";"";
"27";"220";"RESISTOR_0603";"_0603";"R11, R14, R46, R47, R50, R51, R55, R56, R57, R58, R59, R60, R61, R62, R64, R65, R67, R70, R71, R72, R73, R77, R78, R79, R80, R81, R82";"Resistors";"";
"2";"22u";"CAP_CERAMIC_0805";"_0805";"C8, C9";"Ceramic Capacitors";"";
"1";"29k4";"RESISTOR_0603";"_0603";"R66";"Resistors";"";
"1";"2k7";"RESISTOR_0603";"_0603";"R69";"Resistors";"";
"1";"3,3V";"LM1117SOT223-REFLOW";"SOT223-R";"U4";"LM1117 Voltage Regulator";"";
"1";"332k";"RESISTOR_0603";"_0603";"R1";"Resistors";"";
"1";"35m";"RESISTOR1206";"1206";"R20";"Resistors";"";
"12";"38k2";"RESISTOR_0603";"_0603";"R32, R33, R34, R35, R86, R87, R88, R89, R92, R93, R96, R97";"Resistors";"";
"1";"4,7u";"CAP_CERAMIC_0805";"_0805";"C2";"Ceramic Capacitors";"";
"1";"47n";"CAP_CERAMIC_0603";"_0603";"C1";"Ceramic Capacitors";"";
"2";"47p";"CAP_CERAMIC_0603";"_0603";"C16, C18";"Ceramic Capacitors";"";
"2";"47u";"CAP_CERAMIC_0805";"_0805";"C17, C41";"Ceramic Capacitors";"";
"2";"499";"RESISTOR_0603";"_0603";"R18, R21";"Resistors";"";
"1";"4N33";"4N33";"DIL06";"OK1";"MOTOROLA OPTO COUPLER";"";
"5";"4k7";"RESISTOR_0603";"_0603";"R4, R5, R6, R8, R22";"Resistors";"";
"8";"500";"RESISTOR_0603";"_0603";"R9, R10, R17, R48, R49, R52, R53, R83";"Resistors";"";
"1";"50k";"RESISTOR_0603";"_0603";"R103";"Resistors";"";
"1";"560";"RESISTOR_0603";"_0603";"R38";"Resistors";"";
"1";"5V";"LM1117SOT223-REFLOW";"SOT223-R";"U2";"LM1117 Voltage Regulator";"";
"2";"60";"RESISTOR_0603";"_0603";"R26, R63";"Resistors";"";
"1";"68k1";"RESISTOR_0603";"_0603";"R2";"Resistors";"";
"1";"70k";"RESISTOR_0603";"_0603";"R102";"Resistors";"";
"2";"976";"RESISTOR_0603";"_0603";"R16, R23";"Resistors";"";
"5";"BA340A";"B340A";"SMA-DIODE";"D2, D4, D5, D6, D7";"Schottky Diode";"";
"2";"CON1";"AUTOCONNECTOR";"AUTOCONNECTOR";"J1, J2";"";"";
"1";"EM406";"EM406";"EM406";"U$36";"EM406 Connector";"";
"1";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"J4";"Connector which mates to FTDI basic or FTDI cable.";"";
"1";"GTL2000";"GTL2000";"TSSOP48";"U8";"";"";
"1";"IRF9332PBF";"IRF9332PBF";"SOIC127P600X175-8N";"U1";"HEXFET Power MOSFET";"";
"1";"JTAG-ARM";"JTAG-ARM";"JTAG-ARM";"JTAG1";"20 Pin JTAG Connector";"";
"1";"LSM6DS3";"LSM6DS3DOT_INDICATION";"LGA14L_DOT_INDICATOR";"U9";"";"";
"1";"LoPy";"LOPY";"LOPY";"U7";"";"";
"1";"MAX608ESA+";"MAX608ESA+";"SO08";"U$1";"";"";
"2";"MAX9926";"MAX9926";"SOP63P600X175-16N";"U5, U11";"";"";
"4";"MCP6004-E/SL";"MCP6004-E/SL";"SOIC127P600X175-14N";"U6, U12, U13, U14";"IC, OP AMP, QUAD 1MHZ, SMD,";"";
"1";"MICROSD";"MICROSD";"MICROSD";"U$2";"Micro-SD / Transflash card holder with SPI pinout";"";
"6";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";
"1";"PMV20XNE";"MOSFET-NREFLOW";"SOT23";"Q4";"N-Channel Mosfet";"";
"1";"SN65HVD232D";"SN65HVD232D";"SOIC127P600X175-8N";"U10";"3.3-V CAN TRANSCEIVERS";"";
"1";"SO-DIMM-CPU";"SO-DIMM-CPU";"SODIMM-CONNECTOR-2.5V";"J3";"";"";
"1";"SRN6045TA-220M";"INDUCTORTDK_VLC6045";"INDUCTOR_6X6MM_TDK_VLC6045";"L3";"Inductors";"";
"1";"SRN6045TA-680M";"INDUCTORTDK_VLC6045";"INDUCTOR_6X6MM_TDK_VLC6045";"L1";"Inductors";"";
"1";"SUPERCAP";"SUPERCAP";"SUPERCAP";"C4";"";"";
"4";"TEST_POINT_0.040IN";"TEST_POINT_0.040IN";"TESTPOINT_0.040IN";"TP1, TP2, TP3, TP4";"0.040in Test Point";"";
"1";"TPS54331D";"TPS54331D";"SOIC127P600X175-8N";"U3";"3A, 28V INPUT, STEP DOWN SWIFT? DC/DC CONVERTER WITH ECO-MODE?";"";
"1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XB1";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";
