"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"PTC1206";"1206";"PTC1";"PTC (Resettable Fuse)";"";
"1";"";"SODIMM_BOARDSMALL";"SODIMM_BOARD_SMALLER-67.6X35";"SODIMM1";"SODIMM BOARD";"";
"1";"";"STM32F4-100";"SQFP-S-14X14-100";"U1";"STM32F4, 100 pin package";"";
"9";"100n";"CAP_CERAMIC_0603";"_0603";"C3, C5, C6, C7, C8, C9, C10, C12, C16";"Ceramic Capacitors";"";
"2";"1u";"CAP_CERAMIC_0603";"_0603";"C4, C13";"Ceramic Capacitors";"";
"2";"22p";"CAP_CERAMIC_0603";"_0603";"C14, C15";"Ceramic Capacitors";"";
"1";"24 MHz";"CRYSTAL4PIN";"CRYSTAL-4PIN";"Y1";"CRYSTAL";"";
"2";"2u2";"CAP_CERAMIC_0603";"_0603";"C1, C2";"Ceramic Capacitors";"";
"1";"3.6V";"DIODE-ZENER3.3V";"SOD-323";"D1";"Zener Diode";"";
"1";"32.768KHz";"CRYSTAL32.768";"CRYSTAL_CYL_2X6MM_SMT";"Y2";"Crystals";"";
"1";"4u7";"CAP_CERAMIC_0603";"_0603";"C11";"Ceramic Capacitors";"";
"2";"500";"RESISTOR_0603";"_0603";"R1, R2";"Resistors";"";
"2";"6p8";"CAP_CERAMIC_0603";"_0603";"C19, C20";"Ceramic Capacitors";"";
"1";"CR1220";"BATTERY12PTH";"BATTCON_12MM_PTH";"BAT1";"Battery Holders";"";
"1";"PTS645SM43SMTR92";"PTS645SM43SMTR92";"PTS645";"S1";"Tactile Switch SPST-NO Top Actuated Surface Mount";"";
"1";"SWITCH_SPDT";"SWITCH_SPDT";"KPS-1290";"S2";"SWCH-10651";"";
"1";"TPS3825-33DBVR";"TPS3825-33DBVR";"SOT95P280X145-5N";"U2";"PROCESSOR SUPERVISORY CIRCUITS";"";
