"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JST_4PIN";"JSTPH4";"CN1";"JST 4-Pin Right-Angle Connector";"";
"25";"";"LED_RGB_PLCC4";"RGBLED_PLCC4";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25";"RGB LED - PLCC4";"";
"1";"";"MOSFET-PWIDE";"SOT23-WIDE";"Q2";"P-Channel Mosfet";"";
"1";"";"PTC1812";"PTC1812";"PTC2";"PTC (Resettable Fuse)";"";
"1";"";"SWITCH_DPDT";"DPDT_SMT_JS202011SCQN";"SW1";"Switch - DPDT";"";
"1";"057-014-1";"057-014-1";"057-014-1";"X6";"CONNECTOR";"";
"11";"100n";"CAP_CERAMIC_0603";"_0603";"C3, C4, C8, C9, C10, C15, C16, C17, C18, C27, C50";"Ceramic Capacitors";"";
"1";"10k2";"RESISTOR_0603";"_0603";"R68";"Resistors";"";
"1";"10m";"RESISTOR_0805";"_0805";"R9";"Resistors";"";
"2";"10n";"CAP_CERAMIC_0603";"_0603";"C25, C26";"Ceramic Capacitors";"";
"1";"15";"RESISTOR_0603";"_0603";"R1";"Resistors";"";
"1";"1k";"RESISTOR_0603";"_0603";"R2";"Resistors";"";
"1";"1n";"CAP_CERAMIC_0603";"_0603";"C28";"Ceramic Capacitors";"";
"1";"1u";"CAP_CERAMIC_0805";"_0805";"C2";"Ceramic Capacitors";"";
"1";"220";"RESISTOR_0603";"_0603";"R3";"Resistors";"";
"1";"220n50V";"CAP_CERAMIC_0805";"_0805";"C1";"Ceramic Capacitors";"";
"1";"29k4";"RESISTOR_0603";"_0603";"R66";"Resistors";"";
"2";"2u";"CAP_CERAMIC_0805";"_0805";"C6, C7";"Ceramic Capacitors";"";
"1";"332k";"RESISTOR_0603";"_0603";"R22";"Resistors";"";
"1";"3k24";"RESISTOR_0603";"_0603";"R69";"Resistors";"";
"1";"4,7u";"CAP_CERAMIC_0805";"_0805";"C5";"Ceramic Capacitors";"";
"1";"47n";"CAP_CERAMIC_0603";"_0603";"C11";"Ceramic Capacitors";"";
"1";"47p";"CAP_CERAMIC_0603";"_0603";"C29";"Ceramic Capacitors";"";
"2";"47u";"CAP_CERAMIC_0805";"_0805";"C30, C41";"Ceramic Capacitors";"";
"2";"500";"RESISTOR_0603";"_0603";"R7, R8";"Resistors";"";
"2";"60";"RESISTOR_0603";"_0603";"R11, R26";"Resistors";"";
"1";"68k1";"RESISTOR_0603";"_0603";"R23";"Resistors";"";
"5";"931";"RESISTOR_0603";"_0603";"R4, R5, R6, R10, R15";"Resistors";"";
"1";"BA340A";"B340A";"SMA-DIODE";"D2";"Schottky Diode";"";
"1";"CAT4238TD-GT3";"FAN5331";"SOT23-5";"U1";"FAN5331 - LED/OLED 20V Boost Converter";"";
"1";"EA-DOGXL160W-7";"EA-DOGXL160W-7";"EA-DOGXL160W-7";"U$10";"";"";
"1";"IRF9332PBF";"IRF9332PBF";"SOIC127P600X175-8N";"U2";"HEXFET Power MOSFET";"";
"1";"JTAG-ARM";"JTAG-ARM";"JTAG-ARM";"JTAG1";"20 Pin JTAG Connector";"";
"2";"MAX6818";"MAX6818";"SOP20";"U$4, U$5";"";"";
"1";"MBR0520LT";"MBR0520LT";"SOD123";"D1";"SCHOTTKY BARRIER RECTIFIER";"";
"4";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";
"2";"SM10B-SRSS-TB";"SM10B-SRSS-TB";"SM10B-SRSS-TB";"X2, X3";"Disconnectable Crimp style connector, 1.0mm pitch10 contacts";"";
"1";"SN65HVD232D";"SN65HVD232D";"SOIC127P600X175-8N";"U10";"3.3-V CAN TRANSCEIVERS";"";
"1";"SO-DIMM-CPU";"SO-DIMM-CPU";"SODIMM-CONNECTOR-2.5V";"J1";"";"";
"1";"SRN6045TA-680M";"INDUCTORTDK_VLC6045";"INDUCTOR_6X6MM_TDK_VLC6045";"L2";"Inductors";"";
"5";"TLC59116";"TLC59116";"TSSOP28";"U$8, U$30, U$33, U$36, U$51";"";"";
"1";"TPS54331D";"TPS54331D";"SOIC127P600X175-8N";"U3";"3A, 28V INPUT, STEP DOWN SWIFT? DC/DC CONVERTER WITH ECO-MODE?";"";
"1";"WE-PD4S";"WE-PD4-7445501_S";"S";"L1";"SMD-Power Inductors WE-PD4";"";
