Qty;Value;Device;Package;Parts;Description
1;057-014-1;057-014-1;057-014-1;X1;CONNECTOR
4;;10-XX;B3F-10XX;S1, S2, S3, S4;OMRON SWITCH
2;74HC595N;74HC595N;DIL16;IC1, IC2;8-bit SHIFT REGISTER, output latch
1;ARDUINOR3-DIMENSION;ARDUINOR3-DIMENSION;ARDUINOR3;U1;This is a new object for the new Arduino R3 - with extra pins that you may want to use (such as IOref, and duplicated A4/A5
2;;AUDIO-JACKPTH;AUDIO-JACK;U5, U6;3.5mm Audio Jack
1;AVR_SPI_PRG_6NS;AVR_SPI_PRG_6NS;2X3-NS;J5;AVR ISP 6 Pin
1;BN35N61;BN35N61;B35N61;X2;BNC CONNECTOR
4;100n;CAP_CERAMIC_0603;_0603;C4, C7, C8, C50;Ceramic Capacitors
1;47n;CAP_CERAMIC_0603;_0603;C5;Ceramic Capacitors
4;;CAP_CERAMIC_0805;_0805;C1, C2, C3, C6;Ceramic Capacitors
1;;DB9FEMALE;DB9;J1;DB9 Connector
1;;DCBARRELPTH;DCJACK_2MM_PTH;CN2;DC Barrel Jack
4;;EG1218S;EG1218;S5, S6, S7, S8;SLIDING SWITCH
1;FTDI_DEVICE;FTDI_DEVICE;FTDI_DEVICE_SIDE;J4;Connector which mates to FTDI basic or FTDI cable.
1;JTAG-ARM;JTAG-ARM;JTAG-ARM;JTAG1;20 Pin JTAG Connector
5;;LED_RGB_PLCC4;RGBLED_PLCC4;LED1, LED2, LED3, LED4, LED5;RGB LED - PLCC4
10;;LED1206;CHIPLED_1206;LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15;LED
1;3,3v;LM1117SOT223-REFLOW;SOT223-R;U2;LM1117 Voltage Regulator
1;5,0v;LM1117SOT223-REFLOW;SOT223-R;U3;LM1117 Voltage Regulator
1;LoPy;LOPY;LOPY;U4;
1;MICROFIT4;MICROFIT4;43045-0400;U$21;
1;MICROSD;MICROSD;MICROSD;U$2;Micro-SD / Transflash card holder with SPI pinout
4;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;H1, H2, H3, H6;MOUNTING HOLE with drill center marker
4;;POT;ALPS_POT;RV1, RV2, RV3, RV4;
2;60;RESISTOR_0603;_0603;R7, R26;Resistors
8;100;RESISTOR_0603;_0603;R16, R17, R18, R19, R20, R21, R23, R24;Resistors
6;240;RESISTOR_0603;_0603;R2, R3, R12, R13, R14, R15;Resistors
1;499;RESISTOR_0603;_0603;R25;Resistors
2;500;RESISTOR_0603;_0603;R10, R11;Resistors
1;931;RESISTOR_0603;_0603;R9;Resistors
1;976;RESISTOR_0603;_0603;R27;Resistors
5;4k7;RESISTOR_0603;_0603;R4, R5, R6, R8, R22;Resistors
1;;R-TRIMM3296W;RTRIM3296W;R1;Trimm resistor
1;SN65HVD232D;SN65HVD232D;SOIC127P600X175-8N;U10;3.3-V CAN TRANSCEIVERS
1;SO-DIMM-CPU;SO-DIMM-CPU;SODIMM-CONNECTOR-2.5V;J3;
1;;SWITCH_DPDT;DPDT_SMT_JS202011SCQN;SW1;Switch - DPDT
1;TLC59116;TLC59116;TSSOP28;U$30;
1;TUXGR_16X2_R2;TUXGR_16X2_R2;TUXGR_16X2_R2;DIS1;Tuxgraphics LCD display 16x2 characters reflective, without background light
1;;USBMINIBLARGE;USB-MINIB_LARGER;CN1;USB Connectors
1;XBEE-PRO;XBEE-PRO;XBEE-PRO;XB1;XBee (TM) /XBee-PRO(TM) OEM RF Modules
