Qty;Value;Device;Package;Parts;Description
4;;LEDCHIPLED_0805;CHIPLED_0805;LED3, LED5, LED6, LED7;LED
11;100n;CAP_CERAMIC_0603;_0603;C4, C12, C13, C14, C15, C16, C19, C20, C23, C24, C30;Ceramic Capacitors
2;10k;RESISTOR_0603;_0603;R19, R22;Resistors
2;12MHz;CRYSTALHC49S;HC49/S;Q2, Q3;CRYSTAL
4;15k;RESISTOR_0603;_0603;R8, R9, R10, R11;Resistors
2;1k5;RESISTOR_0603;_0603;R7, R12;Resistors
3;22-27-2031-03;22-27-2031-03;6410-03;J1, J2, J4;CONNECTOR
1;22-27-2041-04;22-27-2041-04;6410-04;J3;CONNECTOR
10;22p;CAP_CERAMIC_0603;_0603;C5, C6, C7, C8, C9, C10, C17, C18, C21, C22;Ceramic Capacitors
6;27;RESISTOR_0603;_0603;R1, R2, R3, R4, R5, R6;Resistors
4;270;RESISTOR_0603;_0603;R20, R21, R23, R24;Resistors
2;27p;CAP_CERAMIC_0603;_0603;C28, C29;Ceramic Capacitors
1;3,3v;LM1117SOT223-REFLOW;SOT223-R;U2;LM1117 Voltage Regulator
1;499;RESISTOR_0603;_0603;R14;Resistors
4;4u7;CAP_CERAMIC_0805;_0805;C1, C2, C26, C27;Ceramic Capacitors
1;5,0v;LM1117SOT223-REFLOW;SOT223-R;U7;LM1117 Voltage Regulator
1;500;RESISTOR_0603;_0603;R13;Resistors
1;6MHz;CRYSTALHC49S;HC49/S;Q1;CRYSTAL
1;976;RESISTOR_0603;_0603;R15;Resistors
1;MAX232AEWE+;MAX232AEWE+;SOIC127P1032X265-16N;U3;+5V-Powered, Multichannel RS-232 Drivers/Receivers
2;MCP2200;MCP2200;SO20L;U$24, U$29;USB to serial converter by micreochip
3;MOUNT-HOLE3.0;MOUNT-HOLE3.0;3;H1, H3, H4;MOUNTING HOLE with drill center marker
2;SN75240PWG4;SN75240PWG4;SOP65P640X120-8N;U5, U6;USB Port Transient Suppressors
1;TPS3825-33DBVR;TPS3825-33DBVR;SOT95P280X145-5N;U8;PROCESSOR SUPERVISORY CIRCUITS
1;TUSB2036VF;TUSB2036VF;QFP80P900X900X145-32N;U1;2/3 port Hub for the Universal serial bus with optional serial EEPROM Interface
