"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"22-23-2021";"22-23-2021";"X1";".100" (2.54mm) Center Header - 2 Pin";"";
"6";"";"DIODESOD-323F";"SOD-323F";"D1, D3, D4, D5, D6, D7";"Diode";"";
"1";"";"PTC1812";"PTC1812";"PTC2";"PTC (Resettable Fuse)";"";
"4";"";"RESISTOR_0805";"_0805";"R40, R43, R50, R53";"Resistors";"";
"1";"";"SCHOTTKY-DIODESMC";"SMC";"D8";"Schottky Diode";"";
"4";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1, S2, S3, S4";"SPDT Switch";"";
"4";"";"TESTPOINT";"TESTPOINT_SMT";"TP1, TP2, TP3, TP4";"Test Point";"";
"4";"";"TRANSISTOR_NPNWIDE";"SOT23-WIDE";"Q1, Q2, Q3, Q11";"NPN Transistor";"";
"1";"";"TXB0108PWR";"TSSOP20";"U4";"8-Bit Bi-Directional Level Shifter";"";
"27";"100n";"CAP_CERAMIC_0603";"_0603";"C1, C3, C4, C6, C8, C9, C10, C11, C12, C13, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C38, C39, C40";"Ceramic Capacitors";"";
"14";"10k";"RESISTOR_0603";"_0603";"R12, R13, R15, R19, R22, R33, R34, R35, R36, R37, R38, R60, R61, R62";"Resistors";"";
"8";"10k 0W5";"RESISTOR_0805";"_0805";"R27, R39, R41, R42, R48, R49, R51, R52";"Resistors";"";
"2";"10n";"CAP_CERAMIC_0603";"_0603";"C32, C33";"Ceramic Capacitors";"";
"1";"10u";"CAP_CERAMIC_0805";"_0805";"C16";"Ceramic Capacitors";"";
"6";"120";"RESISTOR_0603";"_0603";"R11, R14, R18, R21, R26, R29";"Resistors";"";
"5";"1k";"RESISTOR_0603";"_0603";"R1, R44, R45, R46, R47";"Resistors";"";
"1";"1k69";"RESISTOR_0603";"_0603";"R2";"Resistors";"";
"4";"1n";"CAP_CERAMIC_0603";"_0603";"C34, C35, C36, C37";"Ceramic Capacitors";"";
"1";"220uf";"CPOL-EUE3.5-8";"E3,5-8";"C2";"POLARIZED CAPACITOR, European symbol";"";
"1";"22u";"CAP_CERAMIC_0805";"_0805";"C17";"Ceramic Capacitors";"";
"6";"499";"RESISTOR_0603";"_0603";"R4, R6, R30, R54, R56, R58";"Resistors";"";
"6";"4N35";"4N35";"DIL06";"OK1, OK2, OK3, OK4, OK5, OK6";"MOTOROLA OPTO COUPLER";"";
"1";"4n7";"CAP_CERAMIC_0603";"_0603";"C5";"Ceramic Capacitors";"";
"13";"500";"RESISTOR_0603";"_0603";"R9, R10, R16, R17, R20, R23, R24, R25, R28, R32, R63, R64, R65";"Resistors";"";
"2";"60";"RESISTOR_0603";"_0603";"R3, R7";"Resistors";"";
"1";"680u";"CPOL-EUE5-10.5";"E5-10,5";"C7";"POLARIZED CAPACITOR, European symbol";"";
"6";"976";"RESISTOR_0603";"_0603";"R5, R8, R31, R55, R57, R59";"Resistors";"";
"1";"AD5024BRUZ";"AD5024BRUZ";"SOP65P640X120-16N";"U9";"12BIT Digital-to-Analog Converters";"";
"2";"CON1";"AUTOCONNECTOR";"AUTOCONNECTOR";"J1, J2";"";"";
"1";"CPU-BOARD";"CPU-BOARD";"CPU-BOARD-JP1";"U$1";"";"";
"1";"HEF4049BT";"HEF4049BT";"SOIC127P600X175-16N";"U7";"Hex inverting buffers";"";
"1";"MAX13052ESA+";"MAX13052ESA+";"SOIC127P600X175-8N";"U1";"Industry-Standard High-Speed CAN Transceivers with ±80V Fault Protection";"";
"1";"MAX232AEWE+";"MAX232AEWE+";"SOIC127P1032X265-16N";"U2";"+5V-Powered, Multichannel RS-232 Drivers/Receivers";"";
"2";"MAX9926";"MAX9927AEE+";"SOP63P600X175-16N";"U5, U6";"Variable Reluctance Sensor Interfaces with Differential Input and Adaptive Peak";"";
"1";"MCP3004-I/ST";"MCP3004-I/ST";"SOP65P640X120-14N";"U8";"IC, 10BIT ADC 4-CH, SMD";"";
"15";"MCP6001T-E/OT";"MCP6001T-E/OT";"SOT95P270X145-5N";"U$19, U$24, U$30, U$33, U$34, U$37, U$39, U$40, U$43, U$45, U$47, U$49, U$55, U$57, U$59";"1 MHz, Low-Power Op Amp";"";
"6";"MOUNT-HOLE3.0";"MOUNT-HOLE3.0";"3,0";"H1, H2, H3, H4, H5, H6";"MOUNTING HOLE with drill center marker";"";
"1";"MSS1278-224KLD";"INDUCTORPWR";"CDRH125";"L1";"Inductors";"";
"1";"REG1117";"REG1117";"SOT223";"IC5";"800mA and 1A Low Dropout (LDO) Positive Regulator";"";
"1";"SPI";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";
"1";"lm2575";"LM2596S";"TO263-5";"IC2";"STEP-DOWN VOLTAGE REGULATOR";"";
